Site,Produt,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,FW_Version,Covarage_Ver,Flow_Ver,Execute_Failure,UNIT_OUT_OF_PROCESS,TestTime,NEP_PASS,BT_TX-2402-1DH5-19_FreqErr,BT_TX-2440-1DH5-19_FreqErr,BT_TX-2480-1DH5-19_FreqErr,BT_TX-2402-2DH5-19_FreqErr,BT_TX-2440-2DH5-19_FreqErr,BT_TX-2480-2DH5-19_FreqErr,BT_TX-2402-3DH5-19_FreqErr,BT_TX-2440-3DH5-19_FreqErr,BT_TX-2480-3DH5-19_FreqErr,BT_TX-2402-1LE-20_FreqErr,BT_TX-2440-1LE-20_FreqErr,BT_TX-2480-1LE-20_FreqErr,BT_TX-2402-2LE-20_FreqErr,BT_TX-2440-2LE-20_FreqErr,BT_TX-2480-2LE-20_FreqErr
Upper Limit ----->,,,,,,,,,,,,,,,,,,,75,75,75,150,150,150,150,150,150,150,150,150,150,150,150
Lower Limit ----->,,,,,,,,,,,,,,,,,,,-75,-75,-75,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz,kHz
ITJS,T11,KYW25CD00360006Z,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 4:36:01 PM,12/17/2025 4:38:32 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-17.6,-14.88,-12.58,-7.75,-11.47,-11.86,-7.11,-10.51,-12.31,-9.44,-9.21,-8.58,-11.7,-8.86,-7.49
ITJS,T11,KYW25CD00360006V,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/17/2025 4:40:05 PM,12/17/2025 4:42:45 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-17.75,-15.04,-12.17,-8.22,-10.5,-11.66,-8.09,-11.77,-13,-9.81,-9.93,-9.06,-11.67,-9.3,-8.12
ITJS,T11,KYW25CD00360006W,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 4:47:39 PM,12/17/2025 4:50:08 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-25.58,-27.69,-21.58,-15.51,-20.03,-21.31,-15.18,-19.6,-21.04,-17.31,-17.8,-16.83,-19.47,-17.25,-16.67
ITJS,T11,KYW25CD00360006X,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-04,Pass,12/17/2025 5:01:18 PM,12/17/2025 5:03:50 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-24.96,-21.56,-20.46,-14.63,-19.33,-20.42,-14.81,-20.42,-21.59,-18.55,-17.19,-16.08,-19.02,-16.32,-15.87
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/17/2025 7:03:59 PM,12/17/2025 7:06:27 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,-23.38,-23.46,-19.81,-13.96,-17.58,-19.73,-12.46,-17.87,-18.9,-16.77,-15.41,-14.46,-17,-15.12,-14.55
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/17/2025 7:10:08 PM,12/17/2025 7:12:38 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,-22.81,-25.12,-20.28,-13.88,-17.08,-18.92,-12.9,-16.46,-19.39,-17.04,-15.45,-14.94,-16.97,-15.53,-14.58
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 7:14:07 PM,12/17/2025 7:16:37 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-24.06,-24.11,-19.96,-13.64,-19.61,-19.12,-13.04,-17.85,-20.23,-17.94,-16.15,-15.32,-17.78,-15.27,-15.75
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/17/2025 8:09:25 PM,12/17/2025 8:20:47 PM,V1.0.3.7,WIFI_TX-2412-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 8:26:51 PM,12/17/2025 8:29:20 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-21.39,-17.35,-15.13,-9.44,-13.28,-15.44,-9.71,-13.4,-14.62,-11.89,-12.04,-11.21,-11.73,-11.4,-9.94
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 8:53,12/19/2025 8:56,V1.0.4.1,WIFI_TX-2412-HT20_MCS7-13,,V0.0.0,V0.0.0,,,,,-21.05,-21.9,-17.71,-11.25,-16.29,-16.14,-11.69,-16.17,-17.05,-13.87,-13.75,-13.6,-14.8,-13.58,-11.91
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 8:56,12/19/2025 9:00,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,-24.21,-20.87,-20.56,-13.12,-18,-19.61,-13.65,-18.29,-17.67,-15.72,-15.73,-15.31,-16.49,-14.84,-13.84
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 9:00,12/19/2025 9:04,V1.0.4.1,WIFI_RX-2412-HT20_MCS7--75,,V0.0.0,V0.0.0,,,,,-24.49,-21.71,-20.04,-14.59,-18.7,-19.12,-14.52,-17.2,-20.16,-15.84,-16.43,-15.46,-17.31,-15.17,-14.37
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-01,Fail,12/19/2025 9:29,12/19/2025 9:33,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,-25.39,-21.12,-20.81,-14.12,-18.28,-19.71,-14.49,-18.06,-20.82,-16.59,-16.65,-16.63,-16.22,-15.94,-15.17
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/19/2025 10:01,12/19/2025 10:05,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,-22.64,-21.22,-19.57,-14.27,-17.33,-19.37,-13.35,-17.03,-18.13,-15.35,-15.81,-15.33,-14.68,-14.87,-14.09
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/19/2025 10:20,12/19/2025 10:23,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-21.98,-18.61,-17.54,-11.7,-17.78,-16.76,-12.66,-15.71,-18,-14.49,-14.58,-14.79,-15.73,-13.94,-13.85
ITJS,T11,KYW25CD00360006R,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Pass,12/19/2025 10:24,12/19/2025 10:28,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-24.99,-21.57,-19.86,-14.37,-17.53,-19.69,-14.6,-18.16,-20.14,-16.65,-16.79,-16.1,-15.79,-15.75,-14.77
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 10:28,12/19/2025 10:31,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,-24.54,-23.2,-21.18,-15.3,-18.8,-21.01,-14.68,-19.91,-20.52,-17.01,-17.78,-16.53,-16.26,-16.17,-15.49
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 10:32,12/19/2025 10:35,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,-26.02,-22.45,-20.71,-15.68,-18.86,-19.45,-14.41,-19.52,-20.8,-17.17,-16.82,-16.97,-16.84,-16.73,-15.79
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/19/2025 10:40,12/19/2025 10:43,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-25.17,-21.81,-20.84,-15.6,-18.12,-19.87,-15.24,-18.08,-19.63,-16.79,-17.26,-16.64,-16.45,-16.01,-15.44
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/19/2025 10:45,12/19/2025 10:48,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,-25.54,-22.48,-20.26,-16.29,-18.34,-20.26,-14.94,-19.09,-20.06,-16.76,-17.15,-17.34,-16.67,-16.46,-15.18
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/19/2025 10:49,12/19/2025 10:52,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-26.02,-23.27,-21.88,-16.07,-19.93,-20.87,-15.61,-18.61,-19.39,-17.74,-17.62,-16.53,-16.88,-17.33,-16.03
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 10:52,12/19/2025 10:57,V1.0.4.1,WIFI_TX-2412-HT20_MCS7-13,,V0.0.1,V0.0.1,,,,,-25.74,-21.96,-20.71,-15.45,-17.67,-20.45,-15.48,-19.5,-20.99,-17.49,-17.34,-16.22,-16.49,-16.9,-15.97
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Pass,12/19/2025 11:14,12/19/2025 11:17,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-25.88,-22.06,-20.43,-15.29,-17.34,-20.04,-13.54,-18.33,-21.73,-17.29,-18.02,-16.37,-16.61,-17.08,-16.43
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 11:29,12/19/2025 11:32,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,-27.61,-24.14,-22.58,-15.81,-19.55,-20.97,-15.53,-18.62,-20.2,-18.15,-18.98,-17.13,-17.65,-17.46,-17
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-01,Fail,12/19/2025 11:33,12/19/2025 11:37,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,-24.35,-24.39,-21.96,-17.1,-19.36,-22.48,-16.99,-20.72,-21.38,-18.84,-17.97,-17.46,-17.75,-17.99,-17.61
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/19/2025 11:38,12/19/2025 11:41,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-28.27,-24.42,-23.17,-17.78,-20.38,-22.34,-16.73,-20.82,-22.12,-19.14,-19.72,-17.95,-18.16,-17.66,-17.52
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-03,Fail,12/19/2025 11:56:09 AM,12/19/2025 11:59:33 AM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,-28.24,-24.55,-23.17,-16.59,-19.73,-22.35,-15.49,-20.2,-22.6,-18.76,-18.95,-17.72,-17.88,-18.27,-17.69
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 12:01:53 PM,12/19/2025 12:05:27 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,-27.91,-24.3,-23.16,-15.92,-20.42,-21.46,-16.39,-19.68,-21.64,-18.44,-19.68,-17.66,-18.03,-18.27,-17.72
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 1:09:19 PM,12/19/2025 1:12:50 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,-23.93,-24.71,-19.88,-16.11,-20.17,-20.26,-16.64,-20.12,-20.49,-16.87,-15.24,-14.55,-16.71,-14.4,-13.36
ITJS,T11,KYW25CD00360006K,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Pass,12/19/2025 11:22:12 AM,12/19/2025 11:25:50 AM,V1.0.4.2,,,V0.0.1,V0.0.1,,,,,-27.52,-23.91,-21.96,-15.93,-19.22,-21.05,-14.74,-18.25,-21.35,-18.09,-18.44,-17,-17.35,-17.49,-16.4
