Site,Produt,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,FW_Version,Covarage_Ver,Flow_Ver,Execute_Failure,UNIT_OUT_OF_PROCESS,TestTime,NEP_PASS,BT_TX-2402-1DH5-19_Power,BT_TX-2440-1DH5-19_Power,BT_TX-2480-1DH5-19_Power,BT_TX-2402-2DH5-19_Power,BT_TX-2402-2DH5-19_DIFFPOWER,BT_TX-2440-2DH5-19_Power,BT_TX-2440-2DH5-19_DIFFPOWER,BT_TX-2480-2DH5-19_Power,BT_TX-2480-2DH5-19_DIFFPOWER,BT_TX-2402-3DH5-19_Power,BT_TX-2402-3DH5-19_DIFFPOWER,BT_TX-2440-3DH5-19_Power,BT_TX-2440-3DH5-19_DIFFPOWER,BT_TX-2480-3DH5-19_Power,BT_TX-2480-3DH5-19_DIFFPOWER,BT_TX-2402-1LE-20_Power,BT_TX-2440-1LE-20_Power,BT_TX-2480-1LE-20_Power,BT_TX-2402-2LE-20_Power,BT_TX-2440-2LE-20_Power,BT_TX-2480-2LE-20_Power
Upper Limit ----->,,,,,,,,,,,,,,,,,,,30,30,30,30,1,30,1,30,1,30,1,30,1,30,1,30,30,30,30,30,30
Lower Limit ----->,,,,,,,,,,,,,,,,,,,10,10,10,10,-4,10,-4,10,-4,10,-4,10,-4,10,-4,10,10,10,10,10,10
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,dBm,dBm,dBm,dBm,dB,dBm,dB,dBm,dB,dBm,dB,dBm,dB,dBm,dB,dBm,dBm,dBm,dBm,dBm,dBm
ITJS,T11,KYW25CD00360006Z,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 4:36:01 PM,12/17/2025 4:38:32 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,20.32,19.97,19.51,16.17,0.07,15.92,0.07,15.83,0.08,16.09,0.05,15.87,0.06,15.78,0.06,20.04,19.7,19.25,20.16,19.83,19.38
ITJS,T11,KYW25CD00360006V,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/17/2025 4:40:05 PM,12/17/2025 4:42:45 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,20.31,19.97,19.5,16.14,0.06,15.88,0.07,15.81,0.07,16.08,0.07,15.84,0.06,15.76,0.07,20.04,19.7,19.24,20.14,19.83,19.37
ITJS,T11,KYW25CD00360006W,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 4:47:39 PM,12/17/2025 4:50:08 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,20.32,19.95,19.48,16.05,0.07,15.77,0.06,15.67,0.06,16.79,0.08,16.53,0.08,15.66,0.07,20.06,19.7,19.22,20.18,19.83,19.35
ITJS,T11,KYW25CD00360006X,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-04,Pass,12/17/2025 5:01:18 PM,12/17/2025 5:03:50 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,20.32,19.96,19.49,16.08,0.06,15.79,0.06,16.51,0.07,16.82,0.07,16.54,0.06,16.48,0.07,20.07,19.7,19.23,20.18,19.81,19.34
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/17/2025 7:03:59 PM,12/17/2025 7:06:27 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,20.34,19.99,19.54,16.06,0.06,15.78,0.06,15.8,0.07,16.02,0.07,15.75,0.07,15.76,0.08,20.09,19.74,19.29,20.21,19.84,19.41
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/17/2025 7:10:08 PM,12/17/2025 7:12:38 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,20.33,19.97,19.52,16.06,0.07,15.81,0.07,15.73,0.07,16.01,0.08,15.79,0.08,15.71,0.08,20.08,19.72,19.28,20.2,19.84,19.39
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 7:14:07 PM,12/17/2025 7:16:37 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,20.32,19.96,19.51,16.06,0.06,15.75,0.06,15.71,0.06,16.03,0.08,15.74,0.08,15.7,0.08,20.07,19.71,19.27,20.18,19.84,19.37
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/17/2025 8:09:25 PM,12/17/2025 8:20:47 PM,V1.0.3.7,WIFI_TX-2412-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 8:26:51 PM,12/17/2025 8:29:20 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,20.47,20.14,19.65,16.32,0.07,16.09,0.06,16,0.08,16.27,0.07,16.04,0.06,15.96,0.06,20.2,19.87,19.38,20.32,20,19.5
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 8:53,12/19/2025 8:56,V1.0.4.1,WIFI_TX-2412-HT20_MCS7-13,,V0.0.0,V0.0.0,,,,,20.34,20.07,19.64,16.53,0.07,16.42,0.07,16.22,0.07,16.46,0.05,16.36,0.05,16.16,0.05,20.09,19.83,19.4,20.19,19.94,19.51
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 8:56,12/19/2025 9:00,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,20.31,20.05,19.61,16.55,0.08,16.41,0.07,16.21,0.08,16.47,0.03,16.34,0.03,16.14,0.04,20.06,19.8,19.37,20.17,19.92,19.48
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 9:00,12/19/2025 9:04,V1.0.4.1,WIFI_RX-2412-HT20_MCS7--75,,V0.0.0,V0.0.0,,,,,20.31,20.05,19.61,16.57,0.07,16.4,0.07,16.23,0.07,16.49,0.04,16.33,0.04,16.16,0.05,20.07,19.81,19.38,20.18,19.94,19.49
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-01,Fail,12/19/2025 9:29,12/19/2025 9:33,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,20.27,20,19.58,16.51,0.06,16.4,0.07,16.18,0.07,16.45,0.06,16.34,0.05,16.13,0.06,20.03,19.77,19.33,20.13,19.89,19.46
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/19/2025 10:01,12/19/2025 10:05,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,20.27,20.01,19.59,16.52,0.07,16.38,0.07,16.15,0.08,16.44,0.03,16.3,0.03,16.08,0.04,20.03,19.78,19.35,20.13,19.89,19.46
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/19/2025 10:20,12/19/2025 10:23,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,20.25,20,19.55,16.5,0.07,16.35,0.07,16.12,0.07,16.41,0.04,16.28,0.03,16.05,0.04,20,19.76,19.3,20.11,19.87,19.43
ITJS,T11,KYW25CD00360006R,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Pass,12/19/2025 10:24,12/19/2025 10:28,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,20.25,19.99,19.54,16.47,0.07,16.35,0.07,16.12,0.08,16.36,0.02,16.27,0.02,16.05,0.03,20,19.75,19.3,20.12,19.86,19.42
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 10:28,12/19/2025 10:31,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,20.23,19.98,19.54,16.49,0.08,16.36,0.08,16.19,0.08,16.39,0.02,16.27,0.02,16.1,0.02,20,19.73,19.29,20.1,19.85,19.4
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 10:32,12/19/2025 10:35,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,20.21,19.96,19.51,16.45,0.07,16.3,0.07,16.13,0.07,16.4,0.07,16.27,0.07,16.11,0.07,19.98,19.72,19.27,20.08,19.83,19.38
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/19/2025 10:40,12/19/2025 10:43,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,20.23,19.98,19.53,16.46,0.07,16.33,0.07,16.14,0.07,16.37,0.03,16.27,0.03,16.07,0.03,20,19.74,19.29,20.09,19.86,19.39
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/19/2025 10:45,12/19/2025 10:48,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,20.24,19.99,19.52,16.48,0.08,16.34,0.07,16.12,0.07,16.39,0.04,16.27,0.04,16.07,0.05,20.01,19.74,19.28,20.09,19.86,19.41
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/19/2025 10:49,12/19/2025 10:52,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,20.23,19.97,19.52,16.43,0.07,16.31,0.07,16.13,0.07,16.35,0.03,16.22,0.04,16.06,0.03,19.98,19.73,19.26,20.09,19.83,19.38
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 10:52,12/19/2025 10:57,V1.0.4.1,WIFI_TX-2412-HT20_MCS7-13,,V0.0.1,V0.0.1,,,,,20.22,19.97,19.51,16.43,0.07,16.32,0.07,16.08,0.08,16.35,0.05,16.27,0.04,16.02,0.05,19.98,19.72,19.26,20.08,19.83,19.37
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Pass,12/19/2025 11:14,12/19/2025 11:17,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,20.21,19.94,19.5,16.45,0.06,16.3,0.07,16.09,0.07,16.36,0.02,16.22,0.03,16.02,0.03,19.96,19.7,19.23,20.06,19.81,19.35
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 11:29,12/19/2025 11:32,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,20.21,19.95,19.51,16.43,0.07,16.32,0.07,16.12,0.07,16.35,0.05,16.26,0.05,16.05,0.04,19.96,19.71,19.27,20.05,19.81,19.38
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-01,Fail,12/19/2025 11:33,12/19/2025 11:37,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,20.18,19.93,19.49,16.36,0.07,16.26,0.08,16.09,0.08,16.27,0.04,16.18,0.03,16.01,0.04,19.94,19.68,19.25,20.03,19.79,19.36
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/19/2025 11:38,12/19/2025 11:41,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,20.19,19.93,19.49,16.42,0.06,16.26,0.07,16.11,0.07,16.36,0.05,16.2,0.06,16.83,0.05,19.95,19.69,19.25,20.05,19.8,19.37
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-03,Fail,12/19/2025 11:56:09 AM,12/19/2025 11:59:33 AM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,22.15,21.88,21.47,18.38,0.07,18.27,0.07,18.11,0.07,19.07,0.03,18.19,0.03,18.81,0.03,21.91,21.65,21.22,22.01,21.77,21.33
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 12:01:53 PM,12/19/2025 12:05:27 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,22.15,21.88,21.46,18.42,0.07,18.25,0.07,18.06,0.07,18.37,0.06,18.22,0.06,18.02,0.06,21.92,21.67,21.23,22.03,21.78,21.35
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 1:09:19 PM,12/19/2025 1:12:50 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,22.7,22.48,22.1,18.46,0.07,18.28,0.06,18.16,0.07,18.42,0.08,18.26,0.08,18.15,0.09,22.44,22.22,21.82,22.55,22.34,21.95
ITJS,T11,KYW25CD00360006K,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Pass,12/19/2025 11:22:12 AM,12/19/2025 11:25:50 AM,V1.0.4.2,,,V0.0.1,V0.0.1,,,,,20.2,19.94,19.49,16.43,0.07,16.33,0.07,16.11,0.08,16.36,0.05,16.27,0.04,16.04,0.04,19.95,19.7,19.27,20.05,19.82,19.38
