Site,Produt,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,FW_Version,Covarage_Ver,Flow_Ver,Execute_Failure,UNIT_OUT_OF_PROCESS,TestTime,NEP_PASS,WIFI_TX-2412-OFDM-54M-14_EVM,WIFI_TX-2442-OFDM-54M-14_EVM,WIFI_TX-2472-OFDM-54M-14_EVM,WIFI_TX-2412-HT20_MCS7-13_EVM,WIFI_TX-2442-HT20_MCS7-13_EVM,WIFI_TX-2472-HT20_MCS7-13_EVM,WIFI_TX-5180-HT20_MCS7-12_EVM,WIFI_TX-5260-HT20_MCS7-12_EVM,WIFI_TX-5320-HT20_MCS7-12_EVM,WIFI_TX-5500-HT20_MCS7-12_EVM,WIFI_TX-5580-HT20_MCS7-12_EVM,WIFI_TX-5600-HT20_MCS7-12_EVM,WIFI_TX-5660-HT20_MCS7-12_EVM,WIFI_TX-5700-HT20_MCS7-12_EVM,WIFI_TX-5745-HT20_MCS7-12_EVM,WIFI_TX-5785-HT20_MCS7-12_EVM,WIFI_TX-5825-HT20_MCS7-12_EVM,WIFI_TX-2412-CCK-11M-17_EVM,WIFI_TX-2442-CCK-11M-17_EVM,WIFI_TX-2472-CCK-11M-17_EVM
Upper Limit ----->,,,,,,,,,,,,,,,,,,,-25,-25,-25,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,0,0,0
Lower Limit ----->,,,,,,,,,,,,,,,,,,,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB
ITJS,T11,KYW25CD00360006Z,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 4:36:01 PM,12/17/2025 4:38:32 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-35.12,-37.35,-37.87,-36.15,-37.32,-38.21,-26.54,-33.48,-34.71,-33.6,-32.58,-22.93,-29.68,-31.23,-30.58,-27.37,-33.3,-21.58,-21.74,-21.38
ITJS,T11,KYW25CD00360006V,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/17/2025 4:40:05 PM,12/17/2025 4:42:45 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-35.41,-33.81,-36.73,-25.48,-25.74,-24.55,-15.88,-33.44,-34.84,-32.64,-32.67,-31.34,-31.7,-32.07,-32.84,-23.89,-33.32,-21.52,-21.37,-21.32
ITJS,T11,KYW25CD00360006W,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 4:47:39 PM,12/17/2025 4:50:08 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-35.39,-36.62,-36.76,-34.99,-37.54,-36.47,-14.65,-33.13,-34.47,-32.7,-33.01,-33.05,-32.02,-31.29,-31.94,-23.46,-33.01,-21.82,-21.51,-21.53
ITJS,T11,KYW25CD00360006X,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-04,Pass,12/17/2025 5:01:18 PM,12/17/2025 5:03:50 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-34.22,-36.22,-38.19,-25.08,-25.16,-23.71,-15.86,-33.3,-34.73,-32.43,-32.12,-32.08,-31.2,-31.1,-32.26,-31.71,-32.33,-21.77,-21.55,-21.74
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/17/2025 7:03:59 PM,12/17/2025 7:06:27 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,-35.23,-36.13,-38.15,-25.5,-25.64,-24.74,-26.8,-33.51,-34.6,-31.82,-31.59,-22.15,-30.83,-31.61,-32.15,-32.24,-32.64,-21.83,-21.55,-21.7
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/17/2025 7:10:08 PM,12/17/2025 7:12:38 PM,V1.0.3.7,WIFI_RX-2412-HT20_MCS7--70,,V0.0.0,V0.0.0,,,,,-35.45,-35.7,-38.07,-22.12,-22.12,-22.3,-27.28,-33.09,-34.2,-32.46,-32.44,-32.89,-31.2,-31.55,-32.16,-31.92,-32.36,-21.59,-21.55,-21.66
ITJS,T11,KYW25CD00360006Y,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/17/2025 7:14:07 PM,12/17/2025 7:16:37 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-35.9,-35.69,-36.86,-33.99,-35.03,-35.65,-15.04,-33.58,-34.62,-32.52,-32.02,-31.44,-31.4,-31.43,-31.82,-31.4,-32.39,-21.77,-21.43,-21.7
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/17/2025 8:09:25 PM,12/17/2025 8:20:47 PM,V1.0.3.7,WIFI_TX-2412-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
ITJS,T11,KYW25CD00360006A,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/17/2025 8:26:51 PM,12/17/2025 8:29:20 PM,V1.0.3.7,,,V0.0.0,V0.0.0,,,,,-35.56,-36.47,-37.67,-22.84,-22.88,-22.61,-16.53,-33.57,-34.72,-32.75,-32.37,-32.12,-31.7,-31.95,-32.58,-22.69,-33.21,-21.52,-21.69,-21.49
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 8:53,12/19/2025 8:56,V1.0.4.1,WIFI_TX-2412-HT20_MCS7-13,,V0.0.0,V0.0.0,,,,,-31.93,-34.48,-35.98,-23.19,-23.35,-22.73,-30.78,-34.66,-35.31,-33.55,-31.55,-22.45,-32.11,-32.43,-32.75,-29.88,-32.4,-21.63,-21.68,-21.45
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 8:56,12/19/2025 9:00,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,-35.3,-23.17,-36.82,-34.28,-34.92,-36.44,-32.13,-33.88,-34.68,-33.47,-32.56,-32.2,-31.58,-31.37,-33.04,-30.48,-31.92,-21.5,-21.68,-21.73
ITJS,T11,KYW25CD00360006C,Pre_Proto_1,T01a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 9:00,12/19/2025 9:04,V1.0.4.1,WIFI_RX-2412-HT20_MCS7--75,,V0.0.0,V0.0.0,,,,,-35.71,-37.39,-36.3,-35.89,-37.24,-35.34,-17.52,-33.86,-33.99,-33.44,-32.37,-29.83,-31.73,-31.98,-32.67,-30.38,-32.28,-21.86,-21.65,-21.81
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-01,Fail,12/19/2025 9:29,12/19/2025 9:33,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,-35,-23.27,-35.59,-33.75,-34.87,-37.33,-19.2,-34.83,-34.88,-33.83,-32.15,-22.87,-31.94,-32.11,-33.54,-31.15,-32.82,-21.57,-21.6,-21.6
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/19/2025 10:01,12/19/2025 10:05,V1.0.4.1,WIFI_TX-2442-OFDM-54M-14,,V0.0.0,V0.0.0,,,,,-36.25,-23.78,-37.88,-23.28,-23.36,-22.4,-20.35,-34.12,-34.22,-33.52,-32.88,-32.14,-31.93,-31.95,-33.92,-27.41,-32.4,-21.74,-21.54,-21.6
ITJS,T11,KYW25CD00360006F,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/19/2025 10:20,12/19/2025 10:23,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-34.39,-35.79,-36.81,-22.77,-22.94,-22.32,-16.74,-35.19,-34.45,-33.86,-33.35,-32.94,-31.6,-32.24,-32.93,-22.03,-32.96,-21.97,-21.61,-21.54
ITJS,T11,KYW25CD00360006R,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Pass,12/19/2025 10:24,12/19/2025 10:28,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-35.32,-24.11,-36.73,-23.08,-23.09,-22.69,-14.77,-34.18,-33.48,-33.46,-32.54,-32.86,-30.64,-31.73,-33.53,-30.54,-32.8,-21.56,-21.59,-21.51
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 10:28,12/19/2025 10:31,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,-34.99,-37.4,-38.08,-24.48,-24.43,-23.38,8.36,-34.18,-34.38,-33.59,-32.55,-30.86,-31.88,-31.81,-32.92,-31.09,-32.93,-21.58,-21.75,-21.52
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 10:32,12/19/2025 10:35,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,-35.07,-36.11,-37.38,-22.68,-22.83,-21.98,-999,-34.67,-34.82,-33.47,-33.08,-19.91,-32.07,-31.59,-33.26,-30.63,-32.49,-21.57,-21.65,-21.56
ITJS,T11,KYW25CD00360006S,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-01,Pass,12/19/2025 10:40,12/19/2025 10:43,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-34.71,-22.53,-36.75,-31.18,-31.57,-33.8,-14.62,-34.4,-35.05,-34.05,-32.55,-31.13,-31.9,-31.83,-33.53,-28.17,-32.5,-21.54,-21.67,-21.78
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-02,Fail,12/19/2025 10:45,12/19/2025 10:48,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,-35.94,-36.52,-36.46,-22.78,-22.78,-22.06,9.98,-33.75,-34.64,-33.66,-32.37,-31.79,-31.49,-31.05,-31.92,-21.42,-32.71,-21.55,-21.29,-21.52
ITJS,T11,KYW25CD00360006M,Pre_Proto_1,T02a-Awa,,ITJS-D24F-SMT01-CWB-03,Pass,12/19/2025 10:49,12/19/2025 10:52,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-34.82,-35.61,-38.07,-35.31,-35.95,-37.05,-13.08,-33.94,-34.77,-33.88,-31.69,-22.56,-31.2,-31.65,-33.37,-30.91,-32.16,-21.77,-21.43,-21.48
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 10:52,12/19/2025 10:57,V1.0.4.1,WIFI_TX-2412-HT20_MCS7-13,,V0.0.1,V0.0.1,,,,,-35.12,-22.69,-37.42,-22.68,-22.65,-22.79,-14.65,-34.77,-35.03,-33.58,-32.64,-33.56,-31.88,-31.83,-33.01,-30.77,-33.03,-21.56,-21.57,-21.63
ITJS,T11,KYW25CD00360006T,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Pass,12/19/2025 11:14,12/19/2025 11:17,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-34.72,-23.36,-37.12,-22.78,-22.69,-22.77,-13.78,-34.31,-34.78,-33.6,-33.05,-31.35,-31.75,-31.9,-33.43,-31.27,-33.12,-21.63,-21.58,-21.45
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Fail,12/19/2025 11:29,12/19/2025 11:32,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,-36.46,-23.32,-37.18,-23.06,-22.95,-23.43,5.74,-34.52,-34.82,-33.28,-33.25,-32.89,-31.99,-30.21,-32.74,-29.27,-32.92,-21.52,-21.63,-21.52
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-01,Fail,12/19/2025 11:33,12/19/2025 11:37,V1.0.4.1,WIFI_TX-5180-HT20_MCS7-12,,V0.0.1,V0.0.1,,,,,-34.46,-23.07,-37.9,-33.96,-35.07,-36,14.2,-34.67,-35.05,-33.38,-32.77,-23.17,-31.31,-32.06,-32.78,-29.99,-32.89,-21.64,-21.64,-21.54
ITJS,T11,KYW25CD00360006I,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-02,Pass,12/19/2025 11:38,12/19/2025 11:41,V1.0.4.1,,,V0.0.1,V0.0.1,,,,,-34.92,-23.65,-37.29,-23.05,-22.97,-23.34,-14.24,-33.58,-34.45,-33.87,-33.06,-32.41,-32.25,-31.55,-32.43,-29.94,-32.67,-21.55,-21.56,-21.46
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-03,Fail,12/19/2025 11:56:09 AM,12/19/2025 11:59:33 AM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,-35.59,-23.91,-36.54,-34.03,-34.54,-36.32,-15.34,-34.49,-34.84,-33.12,-32.46,-30.14,-31.69,-31.19,-32.19,-28.99,-31.99,-21.88,-21.58,-21.79
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-04,Fail,12/19/2025 12:01:53 PM,12/19/2025 12:05:27 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,-34.39,-23.02,-36.77,-33.5,-34.64,-36.74,-12.31,-33.58,-35.08,-33.31,-32.36,-31.64,-31.62,-32.31,-33.02,-30.75,-33.22,-21.57,-21.52,-21.62
ITJS,T11,KYW25CD00360006D,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-05,Fail,12/19/2025 1:09:19 PM,12/19/2025 1:12:50 PM,V1.0.4.1,WIFI_TX-2412-OFDM-54M-14,,V0.0.1,V0.0.1,,,,,-36.6,-23.43,-37.9,-22.97,-23.08,-22.97,-30.91,-33.59,-34.18,-32.71,-31.39,-32.17,-30.52,-30.19,-31.77,-29.17,-31.98,-21.53,-21.8,-21.48
ITJS,T11,KYW25CD00360006K,Pre_Proto_1,T03a-Awa,,ITJS-D24F-SMT01-CWB-06,Pass,12/19/2025 11:22:12 AM,12/19/2025 11:25:50 AM,V1.0.4.2,,,V0.0.1,V0.0.1,,,,,-35.56,-23.59,-36.92,-32.71,-33.09,-34.77,-16.57,-33.7,-34.77,-33.59,-32.8,-31.79,-31.23,-31.58,-32.68,-31.24,-32.9,-21.64,-21.71,-21.52
